,订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额,年份,月份,商品大类,商品小类
69,D27872,2019-04-21,S12871,东区,安徽,安庆市,X020,1249,100.0,124900.0,2019,4,护肤品,眼霜
70,D23567,2019-07-20,S10983,东区,江苏,南京市,X104,972,185.0,179820.0,2019,7,彩妆,睫毛膏
71,D26264,2019-05-30,S22502,南区,福建,三明市,X095,822,107.0,87954.0,2019,5,彩妆,眼影
72,D28337,2019-07-22,S22631,东区,江苏,淮安市,X024,1242,235.0,291870.0,2019,7,护肤品,眼霜
73,D28986,2019-06-27,S12719,南区,广东,广州市,X003,228,168.0,38304.0,2019,6,护肤品,面膜
74,D23846,2019-05-19,S12453,南区,广东,广州市,X039,49,108.0,5292.0,2019,5,护肤品,面霜
75,D24228,2019-04-15,S21595,西区,四川,自贡市,X008,312,119.0,37128.0,2019,4,护肤品,面膜
76,D22792,2019-06-11,S20675,南区,湖南,永州市,X072,1405,62.0,87110.0,2019,6,护肤品,防晒霜
77,D26017,2019-06-25,S14106,东区,江苏,常州市,X072,943,62.0,58466.0,2019,6,护肤品,防晒霜
78,D29882,2019-03-06,S19170,西区,新疆,克拉玛依市,X018,1816,212.0,384992.0,2019,3,护肤品,眼霜
79,D30895,2019-02-05,S15092,东区,江苏,扬州市,X069,592,251.0,148592.0,2019,2,护肤品,防晒霜
80,D21879,2019-07-05,S22973,北区,山东,威海市,X046,1435,241.0,345835.0,2019,7,护肤品,洁面乳
81,D21479,2019-03-12,S16365,南区,广东,湛江市,X067,652,212.0,138224.0,2019,3,护肤品,隔离霜
82,D23381,2019-09-22,S17133,东区,江苏,宿迁市,X091,1136,214.0,243104.0,2019,9,彩妆,粉底
83,D27771,2019-05-28,S20581,南区,广东,肇庆市,X044,971,174.0,168954.0,2019,5,护肤品,洁面乳
84,D32063,2019-09-01,S21939,北区,山东,淄博市,X021,136,59.0,8024.0,2019,9,护肤品,眼霜
85,D28610,2019-06-04,S20442,南区,广东,江门市,X069,804,251.0,201804.0,2019,6,护肤品,防晒霜
86,D30579,2019-04-25,S21325,西区,云南,昆明市,X054,1412,83.0,117196.0,2019,4,护肤品,爽肤水
87,D22939,2019-01-16,S19759,西区,贵州,黔东南州,X059,1872,56.0,104832.0,2019,1,护肤品,隔离霜
88,D32879,2019-05-31,S16573,西区,陕西,宝鸡市,X046,938,241.0,226058.0,2019,5,护肤品,洁面乳
89,D22909,2019-05-17,S15908,西区,四川,自贡市,X017,569,213.0,121197.0,2019,5,护肤品,眼霜
90,D33099,2019-07-24,S10419,南区,广东,佛山市,X010,202,58.0,11716.0,2019,7,护肤品,面膜
91,D30784,2019-06-17,S14854,东区,浙江,嘉兴市,X044,1373,174.0,238902.0,2019,6,护肤品,洁面乳
92,D30544,2019-09-30,S15535,东区,江苏,南京市,X075,883,126.0,111258.0,2019,9,护肤品,防晒霜
93,D21875,2019-07-14,S19718,西区,陕西,咸阳市,X054,766,83.0,63578.0,2019,7,护肤品,爽肤水
94,D23603,2019-08-23,S10223,西区,四川,攀枝花市,X079,1339,128.0,171392.0,2019,8,彩妆,口红
95,D27945,2019-09-12,S21696,西区,四川,成都市,X051,606,203.0,123018.0,2019,9,护肤品,爽肤水
96,D26835,2019-04-07,S17325,西区,四川,德阳市,X026,683,101.0,68983.0,2019,4,护肤品,面霜
97,D27003,2019-04-06,S22693,西区,四川,德阳市,X017,1041,213.0,221733.0,2019,4,护肤品,眼霜
98,D22033,2019-02-27,S14783,东区,江苏,苏州市,X095,658,107.0,70406.0,2019,2,彩妆,眼影
99,D27489,2019-04-22,S12270,东区,江苏,淮安市,X089,245,104.0,25480.0,2019,4,彩妆,粉底
100,D25434,2019-01-11,S16184,南区,广西,北海市,X068,664,225.0,149400.0,2019,1,护肤品,防晒霜
101,D25521,2019-08-31,S15116,南区,广东,清远市,X024,754,235.0,177190.0,2019,8,护肤品,眼霜
102,D24308,2019-09-22,S10283,西区,云南,昆明市,X042,694,159.0,110346.0,2019,9,护肤品,洁面乳
103,D31674,2019-07-24,S17439,南区,江西,南昌市,X015,1221,151.0,184371.0,2019,7,护肤品,面膜
104,D27620,2019-04-16,S23249,北区,山东,烟台市,X047,778,192.0,149376.0,2019,4,护肤品,爽肤水
105,D25312,2019-08-23,S20391,东区,上海,上海市,X050,254,143.0,36322.0,2019,8,护肤品,爽肤水
106,D24868,2019-02-26,S12572,南区,广东,深圳市,X004,1485,211.0,313335.0,2019,2,护肤品,面膜
107,D28082,2019-07-01,S10594,东区,浙江,杭州市,X054,1689,83.0,140187.0,2019,7,护肤品,爽肤水
108,D33204,2019-03-23,S22814,东区,浙江,杭州市,X061,248,203.0,50344.0,2019,3,护肤品,隔离霜
109,D30144,2019-07-27,S19916,北区,辽宁,盘锦市,X077,153,247.0,37791.0,2019,7,彩妆,口红
110,D24212,2019-06-19,S15014,西区,重庆,重庆市,X042,389,159.0,61851.0,2019,6,护肤品,洁面乳
111,D23002,2019-05-12,S12746,东区,浙江,金华市,X047,496,192.0,95232.0,2019,5,护肤品,爽肤水
112,D26707,2019-03-19,S14362,东区,江苏,苏州市,X051,1435,203.0,291305.0,2019,3,护肤品,爽肤水
113,D31365,2019-03-13,S15071,西区,四川,眉山市,X046,44,241.0,10604.0,2019,3,护肤品,洁面乳
114,D28946,2019-09-25,S20083,东区,安徽,宿州市,X037,107,195.0,20865.0,2019,9,护肤品,面霜
115,D25511,2019-01-22,S22146,北区,河北,沧州市,X044,938,174.0,163212.0,2019,1,护肤品,洁面乳
116,D30534,2019-06-29,S11874,南区,广东,深圳市,X079,896,128.0,114688.0,2019,6,彩妆,口红
117,D25170,2019-05-24,S14649,南区,广东,广州市,X048,692,61.0,42212.0,2019,5,护肤品,爽肤水
118,D21574,2019-04-08,S17095,东区,江苏,南通市,X011,888,226.0,200688.0,2019,4,护肤品,面膜
119,D23347,2019-01-25,S19409,南区,广东,广州市,X028,1258,140.0,176120.0,2019,1,护肤品,面霜
120,D27146,2019-05-27,S20992,西区,陕西,渭南市,X016,1604,99.0,158796.0,2019,5,护肤品,面膜
121,D33752,2019-09-25,S16489,北区,河南,三门峡市,X006,338,159.0,53742.0,2019,9,护肤品,面膜
122,D25258,2019-05-19,S10596,北区,北京,北京市,X015,678,151.0,102378.0,2019,5,护肤品,面膜
123,D30680,2019-03-05,S15187,北区,北京,北京市,X050,355,143.0,50765.0,2019,3,护肤品,爽肤水
124,D21954,2019-08-11,S14207,西区,四川,南充市,X024,137,235.0,32195.0,2019,8,护肤品,眼霜
125,D31539,2019-08-06,S10594,东区,浙江,杭州市,X106,613,224.0,137312.0,2019,8,彩妆,睫毛膏
126,D23735,2019-01-03,S20497,南区,福建,泉州市,X045,1140,205.0,233700.0,2019,1,护肤品,洁面乳
127,D24592,2019-07-03,S14630,东区,江苏,无锡市,X027,1146,164.0,187944.0,2019,7,护肤品,面霜
128,D21310,2019-01-25,S13238,南区,广西,百色市,X072,448,62.0,27776.0,2019,1,护肤品,防晒霜
129,D21637,2019-08-17,S20853,东区,江苏,泰州市,X088,859,125.0,107375.0,2019,8,彩妆,粉底
130,D21613,2019-09-07,S11955,西区,四川,自贡市,X008,1031,119.0,122689.0,2019,9,护肤品,面膜
131,D30544,2019-09-30,S15535,东区,江苏,南京市,X089,362,104.0,37648.0,2019,9,彩妆,粉底
132,D24170,2019-08-12,S18696,北区,北京,北京市,X018,1868,212.0,396016.0,2019,8,护肤品,眼霜
133,D23112,2019-07-18,S21325,西区,云南,昆明市,X103,925,202.0,186850.0,2019,7,彩妆,睫毛膏
134,D30123,2019-06-21,S16130,东区,江苏,南通市,X035,996,76.0,75696.0,2019,6,护肤品,面霜
135,D30127,2019-04-04,S22050,南区,广东,深圳市,X003,1220,168.0,204960.0,2019,4,护肤品,面膜
136,D32162,2019-09-12,S22173,北区,河北,廊坊市,X071,1931,253.0,488543.0,2019,9,护肤品,防晒霜
137,D27459,2019-09-23,S18189,东区,浙江,嘉兴市,X069,463,251.0,116213.0,2019,9,护肤品,防晒霜
138,D24142,2019-05-04,S14213,南区,广东,广州市,X038,728,102.0,74256.0,2019,5,护肤品,面霜
139,D27736,2019-08-05,S22618,南区,广东,江门市,X072,1576,62.0,97712.0,2019,8,护肤品,防晒霜
140,D30967,2019-09-03,S11411,东区,江苏,苏州市,X005,357,185.0,66045.0,2019,9,护肤品,面膜
141,D28629,2019-04-12,S19375,东区,江苏,苏州市,X071,959,253.0,242627.0,2019,4,护肤品,防晒霜
142,D31608,2019-01-31,S17389,北区,辽宁,沈阳市,X053,2000,104.0,208000.0,2019,1,护肤品,爽肤水
143,D25362,2019-06-25,S11671,北区,吉林,长春市,X072,1414,62.0,87668.0,2019,6,护肤品,防晒霜
144,D24584,2019-04-01,S19512,北区,北京,北京市,X072,1122,62.0,69564.0,2019,4,护肤品,防晒霜
145,D25426,2019-06-14,S22578,东区,江苏,苏州市,X060,1124,102.0,114648.0,2019,6,护肤品,隔离霜
146,D24189,2019-05-05,S15283,东区,浙江,绍兴市,X067,835,212.0,177020.0,2019,5,护肤品,隔离霜
147,D32487,2019-06-20,S22123,西区,四川,广元市,X029,1141,154.0,175714.0,2019,6,护肤品,面霜
148,D26115,2019-09-08,S15631,南区,江西,南昌市,X041,138,212.0,29256.0,2019,9,护肤品,洁面乳
149,D27448,2019-01-11,S20261,西区,陕西,西安市,X010,455,58.0,26390.0,2019,1,护肤品,面膜
150,D23086,2019-09-30,S22515,南区,福建,泉州市,X014,503,86.0,43258.0,2019,9,护肤品,面膜
151,D24686,2019-08-13,S13571,北区,天津,天津市,X011,465,226.0,105090.0,2019,8,护肤品,面膜
152,D21260,2019-02-25,S15317,南区,海南,海南省直辖,X018,1032,212.0,218784.0,2019,2,护肤品,眼霜
153,D21410,2019-05-08,S10710,西区,陕西,安康市,X045,1157,205.0,237185.0,2019,5,护肤品,洁面乳
154,D33413,2019-01-08,S16940,东区,湖北,武汉市,X041,359,212.0,76108.0,2019,1,护肤品,洁面乳
155,D31390,2019-08-30,S20644,东区,江苏,苏州市,X037,656,195.0,127920.0,2019,8,护肤品,面霜
156,D31235,2019-04-10,S12804,北区,河北,沧州市,X099,1192,108.0,128736.0,2019,4,彩妆,眼影
157,D22175,2019-01-05,S11685,西区,云南,临沧市,X019,1212,210.0,254520.0,2019,1,护肤品,眼霜
158,D29167,2019-02-02,S18224,南区,广东,深圳市,X014,688,86.0,59168.0,2019,2,护肤品,面膜
159,D33401,2019-01-24,S21647,南区,广东,湛江市,X048,554,61.0,33794.0,2019,1,护肤品,爽肤水
160,D29153,2019-07-24,S10355,南区,江西,赣州市,X027,950,164.0,155800.0,2019,7,护肤品,面霜
161,D24669,2019-07-18,S20644,东区,江苏,苏州市,X018,302,212.0,64024.0,2019,7,护肤品,眼霜
162,D22445,2019-01-28,S20083,东区,安徽,宿州市,X022,1202,158.0,189916.0,2019,1,护肤品,眼霜
163,D31369,2019-03-14,S21964,南区,广东,江门市,X003,583,168.0,97944.0,2019,3,护肤品,面膜
164,D21688,2019-02-18,S10989,南区,福建,泉州市,X023,645,235.0,151575.0,2019,2,护肤品,眼霜
165,D22166,2019-06-23,S17092,南区,广东,深圳市,X038,1321,102.0,134742.0,2019,6,护肤品,面霜
166,D31885,2019-04-28,S18020,东区,江苏,南京市,X037,775,195.0,151125.0,2019,4,护肤品,面霜
167,D28050,2019-01-30,S19706,南区,广西,梧州市,X021,858,59.0,50622.0,2019,1,护肤品,眼霜
168,D24034,2019-03-02,S10859,东区,江苏,南通市,X067,683,212.0,144796.0,2019,3,护肤品,隔离霜
169,D23442,2019-07-10,S14207,西区,四川,南充市,X019,595,210.0,124950.0,2019,7,护肤品,眼霜
170,D28361,2019-06-27,S18696,北区,北京,北京市,X041,1260,212.0,267120.0,2019,6,护肤品,洁面乳
171,D24761,2019-06-04,S11024,西区,四川,成都市,X035,1725,76.0,131100.0,2019,6,护肤品,面霜
172,D30670,2019-05-10,S19493,南区,广西,南宁市,X059,828,56.0,46368.0,2019,5,护肤品,隔离霜
173,D29323,2019-05-08,S12578,南区,广西,桂林市,X050,206,143.0,29458.0,2019,5,护肤品,爽肤水
174,D24036,2019-08-24,S17236,东区,上海,上海市,X029,1086,154.0,167244.0,2019,8,护肤品,面霜
175,D25542,2019-06-21,S10966,南区,湖南,长沙市,X010,1752,58.0,101616.0,2019,6,护肤品,面膜
176,D23202,2019-03-28,S15908,西区,四川,自贡市,X042,1174,159.0,186666.0,2019,3,护肤品,洁面乳
177,D32507,2019-06-27,S16440,西区,宁夏,银川市,X094,1679,94.0,157826.0,2019,6,彩妆,粉底
178,D28971,2019-09-10,S20281,西区,云南,临沧市,X035,1128,76.0,85728.0,2019,9,护肤品,面霜
179,D24120,2019-06-30,S17559,南区,广东,深圳市,X005,59,185.0,10915.0,2019,6,护肤品,面膜
180,D31814,2019-01-25,S15352,西区,重庆,重庆市,X022,1377,158.0,217566.0,2019,1,护肤品,眼霜
181,D24008,2019-06-17,S23249,北区,山东,烟台市,X005,964,185.0,178340.0,2019,6,护肤品,面膜
182,D29549,2019-06-13,S12331,北区,山东,潍坊市,X051,875,203.0,177625.0,2019,6,护肤品,爽肤水
183,D32317,2019-06-26,S15702,东区,上海,上海市,X050,728,143.0,104104.0,2019,6,护肤品,爽肤水
184,D22708,2019-04-19,S10141,东区,江苏,苏州市,X011,1882,226.0,425332.0,2019,4,护肤品,面膜
185,D21521,2019-04-21,S22854,东区,江苏,苏州市,X069,1701,251.0,426951.0,2019,4,护肤品,防晒霜
186,D27142,2019-04-03,S15066,西区,四川,南充市,X061,1353,203.0,274659.0,2019,4,护肤品,隔离霜
187,D23093,2019-06-22,S11051,东区,浙江,杭州市,X079,809,128.0,103552.0,2019,6,彩妆,口红
188,D28779,2019-06-26,S11447,南区,广东,广州市,X018,919,212.0,194828.0,2019,6,护肤品,眼霜
189,D30112,2019-05-16,S19123,北区,山东,日照市,X044,864,174.0,150336.0,2019,5,护肤品,洁面乳
190,D28374,2019-05-23,S19605,北区,山西,大同市,X088,711,125.0,88875.0,2019,5,彩妆,粉底
191,D26627,2019-08-08,S19969,北区,北京,北京市,X021,900,59.0,53100.0,2019,8,护肤品,眼霜
192,D33917,2019-06-30,S19445,东区,江苏,镇江市,X018,441,212.0,93492.0,2019,6,护肤品,眼霜
193,D24913,2019-05-15,S11188,南区,江西,新余市,X054,475,83.0,39425.0,2019,5,护肤品,爽肤水
194,D25379,2019-08-26,S20417,东区,湖北,襄阳市,X083,896,208.0,186368.0,2019,8,彩妆,口红
195,D30067,2019-07-01,S21358,东区,浙江,杭州市,X026,1221,101.0,123321.0,2019,7,护肤品,面霜
196,D24784,2019-08-04,S11827,东区,江苏,无锡市,X009,95,92.0,8740.0,2019,8,护肤品,面膜
197,D28858,2019-07-14,S11460,东区,安徽,宿州市,X042,536,159.0,85224.0,2019,7,护肤品,洁面乳
198,D31745,2019-07-12,S17720,东区,湖北,黄冈市,X062,727,239.0,173753.0,2019,7,护肤品,隔离霜
199,D32083,2019-05-27,S19375,东区,江苏,苏州市,X067,303,212.0,64236.0,2019,5,护肤品,隔离霜
200,D25620,2019-02-12,S13802,东区,江苏,盐城市,X022,178,158.0,28124.0,2019,2,护肤品,眼霜
201,D31823,2019-02-26,S19593,南区,广东,广州市,X046,81,241.0,19521.0,2019,2,护肤品,洁面乳
202,D23297,2019-06-03,S10325,南区,福建,福州市,X018,1183,212.0,250796.0,2019,6,护肤品,眼霜
203,D24128,2019-02-04,S11827,东区,江苏,无锡市,X083,776,208.0,161408.0,2019,2,彩妆,口红
204,D30072,2019-06-09,S10098,南区,广西,柳州市,X068,1072,225.0,241200.0,2019,6,护肤品,防晒霜
205,D26229,2019-02-16,S22887,南区,江西,九江市,X075,167,126.0,21042.0,2019,2,护肤品,防晒霜
206,D23672,2019-04-14,S17229,北区,山西,大同市,X046,973,241.0,234493.0,2019,4,护肤品,洁面乳
207,D31613,2019-02-07,S17651,南区,广东,佛山市,X046,892,241.0,214972.0,2019,2,护肤品,洁面乳
208,D23446,2019-06-14,S16312,东区,浙江,台州市,X029,739,154.0,113806.0,2019,6,护肤品,面霜
209,D25879,2019-08-21,S10419,南区,广东,佛山市,X050,995,143.0,142285.0,2019,8,护肤品,爽肤水
210,D30749,2019-05-01,S13061,东区,浙江,宁波市,X101,691,173.0,119543.0,2019,5,彩妆,睫毛膏
211,D23661,2019-04-13,S15014,西区,重庆,重庆市,X071,1698,253.0,429594.0,2019,4,护肤品,防晒霜
212,D29970,2019-08-02,S10905,南区,广东,广州市,X003,103,168.0,17304.0,2019,8,护肤品,面膜
213,D24927,2019-09-21,S13234,东区,安徽,铜陵市,X080,369,72.0,26568.0,2019,9,彩妆,口红
214,D26774,2019-07-11,S20286,东区,安徽,合肥市,X071,415,253.0,104995.0,2019,7,护肤品,防晒霜
215,D29382,2019-01-16,S11955,西区,四川,自贡市,X048,904,61.0,55144.0,2019,1,护肤品,爽肤水
216,D25176,2019-07-23,S12163,南区,广西,桂林市,X083,978,208.0,203424.0,2019,7,彩妆,口红
217,D30516,2019-07-26,S15966,南区,福建,厦门市,X035,980,76.0,74480.0,2019,7,护肤品,面霜
218,D28382,2019-09-12,S18131,东区,浙江,绍兴市,X044,916,174.0,159384.0,2019,9,护肤品,洁面乳
219,D31110,2019-07-26,S22744,东区,江苏,常州市,X037,1509,195.0,294255.0,2019,7,护肤品,面霜
220,D25705,2019-09-11,S12471,东区,安徽,合肥市,X089,1969,104.0,204776.0,2019,9,彩妆,粉底
221,D28615,2019-07-25,S15910,北区,河南,三门峡市,X064,498,150.0,74700.0,2019,7,护肤品,隔离霜
222,D24243,2019-09-06,S13870,南区,湖南,衡阳市,X106,563,224.0,126112.0,2019,9,彩妆,睫毛膏
223,D21225,2019-03-29,S15865,东区,湖北,孝感市,X030,139,237.0,32943.0,2019,3,护肤品,面霜
224,D24249,2019-08-05,S12176,南区,广东,广州市,X059,127,56.0,7112.0,2019,8,护肤品,隔离霜
225,D23997,2019-02-14,S19956,东区,浙江,绍兴市,X050,1823,143.0,260689.0,2019,2,护肤品,爽肤水
226,D33076,2019-08-15,S15501,东区,安徽,亳州市,X049,393,226.0,88818.0,2019,8,护肤品,爽肤水
227,D31009,2019-07-16,S20141,南区,湖南,长沙市,X031,340,86.0,29240.0,2019,7,护肤品,面霜
228,D29060,2019-09-10,S14106,东区,江苏,常州市,X091,544,214.0,116416.0,2019,9,彩妆,粉底
229,D24530,2019-04-23,S16489,北区,河南,三门峡市,X011,1230,226.0,277980.0,2019,4,护肤品,面膜
230,D25194,2019-07-29,S17559,南区,广东,深圳市,X025,2233,102.0,227766.0,2019,7,护肤品,眼霜
231,D28003,2019-05-14,S22035,北区,山东,临沂市,X036,1537,99.0,152163.0,2019,5,护肤品,面霜
232,D25776,2019-04-15,S17807,西区,甘肃,酒泉市,X071,294,253.0,74382.0,2019,4,护肤品,防晒霜
233,D25257,2019-08-12,S18884,西区,甘肃,兰州市,X067,1254,212.0,265848.0,2019,8,护肤品,隔离霜
234,D21671,2019-06-17,S22618,南区,广东,江门市,X037,1054,195.0,205530.0,2019,6,护肤品,面霜
235,D29815,2019-06-22,S21735,东区,江苏,南通市,X037,932,195.0,181740.0,2019,6,护肤品,面霜
236,D24123,2019-06-27,S14453,东区,江苏,无锡市,X039,650,108.0,70200.0,2019,6,护肤品,面霜
237,D28127,2019-02-16,S17072,东区,江苏,苏州市,X018,392,212.0,83104.0,2019,2,护肤品,眼霜
238,D21866,2019-01-25,S19580,南区,福建,厦门市,X030,316,237.0,74892.0,2019,1,护肤品,面霜
